frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
0,0.000000,457.0,196.0,1,1.7467,-48.9042,-1,-1,0,457.56,422.33,-1,-1,1,-1,detect,missing
1,0.047619,457.0,194.0,1,1.7041,-51.5063,54.6501,-1,0,457.57,422.34,-1,-1,1,-1,detect,missing
2,0.095238,466.0,166.0,1,1.3321,-126.8326,1581.8712,0.6543,1,460.53,423.57,-1,-1,1,-1,detect,missing
3,0.142857,476.0,139.0,1,-13.7972,-3845.8328,78099.594,0.0499,1,465.5,422.43,-1,-1,1,-1,detect,missing
4,0.190476,483.0,117.0,1,2.9186,226.9009,85528.0617,179.9979,1,470.07,423.19,-1,-1,1,-1,detect,missing
5,0.238095,491.0,94.0,1,2.4408,120.6486,2231.3198,179.9775,1,473.42,424.26,-1,-1,1,-1,detect,missing
6,0.285714,498.0,75.0,1,2.293,91.4797,612.5554,0.0328,1,476.09,424.72,449.49,373.67,1,2,detect,detect
7,0.333334,508.0,58.0,1,2.0947,77.1395,301.1715,0.5017,1,477.24,425.18,450.17,373.13,1,2,detect,detect
8,0.380953,515.0,41.0,1,2.0491,67.8308,195.4857,0.5117,1,477.71,425.06,451.55,371.99,1,2,detect,detect
9,0.428572,523.0,26.0,1,1.9766,61.9659,123.1711,0.4275,1,477.51,427.24,453.37,370.73,1,2,detect,detect
10,0.476191,530.0,13.0,1,1.9264,58.0225,82.8188,0.0208,0,479.16,431.96,454.41,372.19,1,2,detect,detect
11,0.523810,538.0,3.0,1,1.8424,55.5063,52.8705,1.1848,0,483.04,438.34,455.43,373.43,1,2,detect,detect
12,0.571429,-1,-1,0,-1,-1,-1,-1,0,482.95,442.65,457.16,373.12,1,2,detect,detect
13,0.619048,-1,-1,0,-1,-1,-1,-1,0,495.51,446.14,460.4,374.41,1,2,detect,detect
14,0.666667,-1,-1,0,-1,-1,-1,-1,0,503.66,447.66,466.89,373.13,1,2,detect,detect
15,0.714286,-1,-1,0,-1,-1,-1,-1,0,512.67,451.79,471.26,372.32,1,2,detect,detect
16,0.761905,-1,-1,0,-1,-1,-1,-1,0,518.57,460.32,474.45,370.99,1,2,detect,detect
17,0.809524,-1,-1,0,-1,-1,-1,-1,0,528.3,465.62,476.42,370.41,1,2,detect,detect
18,0.857143,-1,-1,0,-1,-1,-1,-1,0,546.19,469.05,479.35,369.7,1,2,detect,detect
19,0.904763,-1,-1,0,-1,-1,-1,-1,0,557.79,471.44,481.38,368.92,1,2,detect,detect
20,0.952382,-1,-1,0,-1,-1,-1,-1,0,570.22,476.83,483.2,367.85,1,2,detect,detect
21,1.000001,-1,-1,0,-1,-1,-1,-1,0,585.26,490.43,484.86,368.35,1,2,detect,detect
22,1.047620,-1,-1,0,-1,-1,-1,-1,0,593.63,498.92,487.05,367.07,1,2,detect,detect
23,1.095239,-1,-1,0,-1,-1,-1,-1,0,605.57,503.11,490.77,366.19,1,2,detect,detect
24,1.142858,645.0,5.0,1,-0.3362,55.9792,3.6012,100.335,0,618.77,504.18,494.89,365.63,1,2,detect,detect
25,1.190477,652.0,18.0,1,-0.8482,59.438,73.4263,69.3303,0,631.9,503.91,499.73,364.82,1,2,detect,detect
26,1.238096,658.0,34.0,1,-1.5867,64.8831,115.3943,0.6972,1,647.13,499.61,503.5,364.4,1,2,detect,detect
27,1.285715,663.0,49.0,1,-2.5016,71.7679,145.8513,0.1543,1,659.45,491.3,504.9,364.27,1,2,detect,detect
28,1.333334,676.0,86.0,1,-7.0538,105.7641,720.2917,0.0571,1,681.79,475.93,506.68,364.49,1,2,detect,detect
29,1.380953,682.0,107.0,1,-14.3665,161.2715,1175.7272,0.1215,1,693.54,468.15,506.8,364.4,1,2,detect,detect
30,1.428572,686.0,128.0,1,-52.1469,452.1606,6159.9726,0.105,1,705.99,462.24,506.45,363.81,1,2,detect,detect
31,1.476192,650.0,196.0,1,10.6681,-48.9042,10604.7154,179.7454,1,715.67,456.15,506.73,361.49,1,2,detect,detect
32,1.523811,622.0,236.0,1,6.7506,-19.1449,630.3372,179.6462,1,724.69,451.46,508.33,360.78,1,2,detect,detect
33,1.571430,607.0,256.0,1,5.7643,-11.825,155.1062,0.1749,1,735.41,456.91,511.71,360.53,1,2,detect,detect
34,1.619049,594.0,279.0,1,5.0565,-5.9726,123.7964,0.7792,1,752.76,485.31,511.92,361.57,1,2,detect,detect
35,1.666668,588.0,287.0,1,4.8349,-4.3602,34.1783,0.9306,0,763.88,510.76,512.1,362.1,1,2,detect,detect
36,1.714287,585.0,294.0,1,4.6984,-3.0849,26.9335,1.7134,0,774.9,530.88,511.88,364.04,1,2,detect,detect
37,1.761906,583.0,300.0,1,4.6002,-2.0795,21.2142,0.5339,0,794.25,530.45,511.52,365.37,1,2,flow,detect
38,1.809525,581.0,306.0,1,4.509,-1.1459,19.6997,0.0,0,816.28,530.19,512.38,365.72,1,2,flow,detect
39,1.857144,586.0,298.0,1,4.6712,-2.4063,26.6869,178.2434,0,816.42,530.03,515.47,364.71,1,2,flow,detect
40,1.904763,588.0,289.0,1,4.8099,-3.9838,33.255,2.3126,0,816.63,529.96,516.69,364.14,1,2,flow,detect
41,1.952382,590.0,277.0,1,5.0097,-6.4047,51.0113,0.3024,0,815.04,529.97,518.81,365.15,1,2,flow,detect
42,2.000001,596.0,268.0,1,5.2767,-8.5134,44.637,2.4962,0,808.86,530.09,520.7,367.31,1,2,flow,detect
