Frame,Visibility,X,Y
0,1,457,196
1,1,457,194
2,1,466,166
3,1,476,139
4,1,483,117
5,1,491,94
6,1,498,75
7,1,508,58
8,1,515,41
9,1,523,26
10,1,530,13
11,1,538,3
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,1,645,5
25,1,652,18
26,1,658,34
27,1,663,49
28,1,676,86
29,1,682,107
30,1,686,128
31,1,650,196
32,1,622,236
33,1,607,256
34,1,594,279
35,1,588,287
36,1,585,294
37,1,583,300
38,1,581,306
39,1,586,298
40,1,588,289
41,1,590,277
42,1,596,268
43,1,600,260
44,1,605,251
45,1,609,247
46,1,613,243
47,1,616,241
48,1,620,241
49,1,626,241
50,1,630,245
51,1,631,247
52,1,635,253
53,1,637,258
54,1,641,266
55,1,645,281
56,1,648,292
57,1,650,306
58,1,652,315
59,0,0,0
60,1,611,289
61,1,601,279
62,1,592,272
63,1,585,264
64,1,579,258
65,1,568,256
66,1,562,258
67,1,558,258
68,1,553,260
69,1,547,264
70,1,540,272
71,1,536,275
72,1,534,281
73,1,532,289
74,1,528,294
75,1,526,302
76,0,0,0
77,0,0,0
78,1,511,296
79,1,506,272
80,1,495,253
81,1,481,219
82,1,476,204
83,1,468,190
84,1,463,179
85,1,457,170
86,1,444,153
87,1,438,145
88,1,431,141
89,1,425,137
90,1,420,136
91,1,408,136
92,1,401,136
93,1,395,139
94,1,390,145
95,1,382,153
96,1,376,162
97,1,468,228
98,1,500,247
99,1,521,260
100,1,534,270
101,1,543,279
102,1,560,292
103,1,566,298
104,1,571,306
105,1,575,311
106,1,579,317
107,0,0,0
108,1,592,321
109,1,596,306
110,1,600,300
111,1,603,294
112,1,611,287
113,1,615,283
114,1,618,283
115,1,622,281
116,1,624,281
117,1,628,283
118,1,631,281
119,1,633,283
120,1,633,283
121,1,633,287
122,1,633,290
123,1,635,298
124,1,635,304
125,1,637,309
126,1,637,315
127,1,637,323
128,1,637,340
129,1,637,347
130,1,637,358
131,1,639,366
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,1,645,9
146,1,646,34
147,1,648,58
148,1,652,83
149,0,0,0
150,1,620,245
151,1,613,270
152,1,607,287
153,1,605,300
154,1,601,317
155,0,0,0
156,1,600,332
157,1,598,340
158,1,596,347
159,1,596,353
160,1,596,349
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,1,502,24
180,1,500,26
181,1,495,30
182,1,491,35
183,1,489,41
184,1,485,51
185,1,483,60
186,1,478,86
187,1,474,100
188,1,472,117
189,1,468,136
190,1,433,222
191,1,410,277
192,1,405,290
193,1,401,302
194,1,399,311
195,1,397,319
196,1,393,336
197,1,393,341
198,1,393,347
199,1,391,357
200,1,393,353
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,1,378,196
225,1,380,204
226,1,382,213
227,1,382,221
228,1,367,245
229,1,356,255
230,1,345,264
231,1,335,275
232,1,326,283
233,1,309,307
234,1,301,321
235,1,294,338
236,1,285,353
237,1,279,370
238,1,298,328
239,1,311,306
240,1,318,290
241,1,326,277
242,1,333,268
243,1,339,260
244,1,348,253
245,1,352,249
246,1,356,249
247,1,360,249
248,1,361,251
249,1,367,255
250,1,371,258
251,1,373,262
252,1,375,268
253,1,378,273
254,1,382,285
255,1,384,292
256,1,386,300
257,1,388,307
258,1,390,315
259,1,397,307
260,1,399,296
261,1,403,289
262,1,406,279
263,1,408,273
264,1,406,270
265,1,410,264
266,1,412,260
267,1,416,260
268,1,418,260
269,1,420,262
270,1,421,268
271,1,423,272
272,1,425,277
273,1,427,285
274,1,427,294
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,1,476,298
281,1,481,289
282,1,491,279
283,1,500,272
284,1,508,270
285,1,515,268
286,1,528,264
287,1,534,264
288,1,540,266
289,1,545,268
290,1,551,270
291,1,562,279
292,1,566,283
293,1,570,290
294,1,573,298
295,1,577,306
296,1,585,321
297,1,588,330
298,1,592,340
299,1,596,351
300,1,598,360
301,1,603,370
302,1,603,368
303,1,603,368
304,1,603,366
305,1,603,366
306,1,603,366
307,1,603,366
308,1,605,368
309,1,609,374
310,1,611,374
311,1,613,374
312,1,613,374
313,1,615,374
314,1,615,374
315,1,615,374
316,1,615,374
317,1,615,374
318,1,615,374
319,1,615,374
320,1,615,374
321,1,615,374
322,1,435,177
323,1,435,181
324,1,435,188
325,1,435,194
326,1,435,202
327,1,436,209
328,1,487,234
329,1,508,241
330,1,526,253
331,1,547,262
332,1,564,273
333,1,596,294
334,1,611,307
335,1,626,321
336,1,641,336
337,1,654,351
338,1,682,385
339,1,695,404
340,0,0,0
341,1,682,366
342,1,669,340
343,1,650,302
344,1,643,290
345,1,637,279
346,1,631,272
347,1,626,266
348,1,622,260
349,1,613,256
350,1,609,255
351,1,607,255
352,1,603,256
353,1,601,258
354,1,596,264
355,1,594,270
356,1,592,275
357,1,590,281
358,1,588,289
359,1,586,302
360,1,586,309
361,1,585,321
362,0,0,0
363,0,0,0
364,1,592,306
365,1,592,296
366,1,594,287
367,1,598,283
368,1,600,275
369,1,601,270
370,1,603,262
371,1,605,260
372,1,607,260
373,1,607,260
374,1,609,260
375,1,611,264
376,1,615,268
377,1,615,272
378,1,618,279
379,1,620,287
380,1,622,304
381,1,624,313
382,1,626,323
383,1,607,300
384,1,586,258
385,1,553,207
386,1,541,188
387,1,530,175
388,1,521,162
389,1,513,153
390,1,508,145
391,1,495,134
392,1,489,128
393,1,485,126
394,1,481,124
395,1,476,122
396,1,470,122
397,1,466,124
398,1,465,126
399,1,461,128
400,1,457,132
401,1,453,139
402,1,451,145
403,1,450,151
404,1,450,156
405,1,448,162
406,1,444,177
407,1,444,185
408,1,442,192
409,1,442,200
410,1,440,209
411,1,440,219
412,1,403,256
413,1,390,272
414,1,376,285
415,1,363,302
416,1,352,317
417,1,330,351
418,1,318,368
419,1,307,391
420,1,309,362
421,1,318,334
422,1,331,296
423,1,335,285
424,1,339,275
425,1,341,268
426,1,345,264
427,1,348,258
428,1,352,256
429,1,354,256
430,1,356,258
431,1,358,260
432,1,360,262
433,1,363,270
434,1,365,275
435,1,367,281
436,1,369,287
437,1,371,294
438,1,375,309
439,1,376,317
440,0,0,0
441,0,0,0
442,0,0,0
443,1,378,324
444,1,376,311
445,1,375,302
446,1,376,292
447,1,375,283
448,1,373,273
449,1,371,272
450,1,367,268
451,1,367,266
452,1,365,266
453,1,363,266
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,1,416,68
459,1,405,71
460,1,399,75
461,1,393,83
462,1,388,92
463,1,382,102
464,1,371,126
465,1,365,139
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,0,0,0
474,0,0,0
475,1,376,300
476,1,371,290
477,1,367,279
478,1,361,272
479,1,360,264
480,1,352,253
481,1,348,249
482,1,345,245
483,1,341,245
484,1,339,243
485,1,333,245
486,1,330,249
487,1,326,253
488,1,322,256
489,1,318,264
490,1,313,279
491,1,309,289
492,1,307,298
493,1,309,296
494,1,315,283
495,1,318,275
496,1,322,264
497,1,324,260
498,1,328,260
499,1,330,262
500,1,333,264
501,1,339,270
502,1,341,273
503,1,343,277
504,1,345,283
505,1,346,290
506,1,350,302
507,1,352,309
508,1,354,317
509,1,356,328
510,1,356,338
511,1,360,343
512,1,356,328
513,1,354,313
514,1,354,306
515,1,358,296
516,1,356,289
517,1,354,277
518,1,354,272
519,1,352,270
520,1,350,268
521,1,348,266
522,1,348,266
523,1,348,268
524,1,348,272
525,1,348,275
526,1,346,281
527,1,345,296
528,1,345,304
529,1,345,313
530,1,345,319
531,1,343,309
532,1,343,289
533,1,341,283
534,1,341,277
535,1,341,273
536,1,341,270
537,1,341,268
538,1,341,266
539,1,341,268
540,1,341,272
541,1,341,275
542,1,339,279
543,1,337,289
544,1,339,292
545,1,339,300
546,1,341,307
547,1,341,315
548,1,341,334
549,1,339,334
