frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
0,0.000000,457.0,195.0,1,1.6803,-51.0557,-1,-1,0,457.61,422.3,-1,-1,1,-1,detect,missing
1,0.047619,457.0,194.0,1,1.6574,-52.4215,28.6866,-1,0,457.63,422.32,-1,-1,1,-1,detect,missing
2,0.095238,466.0,165.0,1,1.1507,-137.8071,1793.1273,0.6222,1,460.39,423.52,-1,-1,1,-1,detect,missing
3,0.142857,476.0,139.0,1,476.2741,100812.3906,2119976.011,179.9297,1,465.24,422.35,-1,-1,1,-1,detect,missing
4,0.190476,483.0,117.0,1,2.9866,214.5772,2112575.9774,179.9999,1,469.91,423.08,-1,-1,1,-1,detect,missing
5,0.238095,491.0,94.0,1,2.4883,117.2655,2043.5721,0.0238,1,473.18,424.16,-1,-1,1,-1,detect,missing
6,0.285714,498.0,74.0,1,2.3396,88.5894,602.2061,0.0036,1,475.96,424.63,449.58,372.89,1,2,detect,detect
7,0.333334,507.0,57.0,1,2.1708,75.2074,281.0431,0.4257,1,477.17,425.16,450.21,372.89,1,2,detect,detect
8,0.380953,514.0,40.0,1,2.114,66.4193,184.553,0.3521,1,477.61,425.19,451.62,371.92,1,2,detect,detect
9,0.428572,522.0,26.0,1,2.0271,61.1668,110.318,0.5769,1,477.45,427.3,453.29,370.84,1,2,detect,detect
10,0.476191,529.0,13.0,1,1.9728,57.3343,80.4915,0.1359,0,479.02,431.92,454.36,372.42,1,2,detect,detect
11,0.523810,537.0,3.0,1,1.8867,54.8846,51.4751,1.202,0,481.72,438.41,455.46,373.63,1,2,detect,detect
12,0.571429,-1,-1,0,-1,-1,-1,-1,0,482.08,442.79,457.21,373.33,1,2,detect,detect
13,0.619048,-1,-1,0,-1,-1,-1,-1,0,495.11,446.23,460.53,374.37,1,2,detect,detect
14,0.666667,-1,-1,0,-1,-1,-1,-1,0,503.49,447.64,467.07,373.22,1,2,detect,detect
15,0.714286,-1,-1,0,-1,-1,-1,-1,0,512.59,451.77,471.44,372.44,1,2,detect,detect
16,0.761905,-1,-1,0,-1,-1,-1,-1,0,518.57,460.28,474.5,371.05,1,2,detect,detect
17,0.809524,-1,-1,0,-1,-1,-1,-1,0,528.31,465.6,476.34,370.47,1,2,detect,detect
18,0.857143,-1,-1,0,-1,-1,-1,-1,0,546.17,469.02,479.33,369.74,1,2,detect,detect
19,0.904763,-1,-1,0,-1,-1,-1,-1,0,557.89,471.83,481.4,369.0,1,2,detect,detect
20,0.952382,-1,-1,0,-1,-1,-1,-1,0,569.88,474.0,483.21,367.86,1,2,detect,detect
21,1.000001,-1,-1,0,-1,-1,-1,-1,0,585.18,489.17,484.86,368.42,1,2,detect,detect
22,1.047620,-1,-1,0,-1,-1,-1,-1,0,593.63,498.4,487.05,367.13,1,2,detect,detect
23,1.095239,-1,-1,0,-1,-1,-1,-1,0,605.65,502.88,490.82,366.22,1,2,detect,detect
24,1.142858,645.0,5.0,1,-0.2842,55.3453,3.5849,99.968,0,618.91,504.14,494.76,365.72,1,2,detect,detect
